Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;1;Helene;Gismervik;F;NOR;TVERLANDET;FE4;Trim/Adventure;3:47.0;0:00.0;2018-09-23T16:24:22.0230000;Tverlandet
2;2;Bjørnar Orion;Klinkenberg;M;NOR;Harstad CK;FE4;Trim/Adventure;4:35.0;0:48.0;2018-09-23T16:24:08.1650000;Harstad
2;11;Ida;Haugsmark;F;NOR;Harstad CK;FE4;K Junior;4:52.0;0:00.0;2018-09-23T16:23:22.3840000;Harstad
1;10;Kajsa;Uttakleiv;F;NOR;Harstad Cykelklubb;FE4;K Junior;4:32.0;0:20.0;2018-09-23T16:23:23.1900000;Harstad
999;4;Birk;Jørgensen;M;NOR;Harstad CK;FE4;M Junior;0:00.0;;;Harstad
999;5;Ask;Jørgensen;M;NOR;Harstad CK;FE4;M Junior;0:00.0;;;Harstad
4;6;Oliver S.;Klinkenberg;M;NOR;Harstad CK / Team Råtøff;FE4;M Junior;4:43.0;0:00.0;2018-09-23T16:23:52.2950000;Harstad
3;7;Sebastian;Molund Enoksen;M;NOR;Harstad CK / Leon Sport;FE4;M Junior;3:47.0;0:56.0;2018-09-23T16:21:36.8370000;Evenskjer
1;9;Amund;Røkenes;M;NOR;Harstad CK;FE4;M Junior;3:17.0;1:26.0;2018-09-23T16:20:38.5600000;Harstad
2;8;Jesper;Stattin;M;NOR;Harstad CK;FE4;M Junior;3:30.0;1:13.0;2018-09-23T16:21:40.2940000;Harstad
999;3;Julian Johan;Strand-Mikalsen;M;NOR;Harstad CK;FE4;M Junior;0:00.0;;;HARSTAD
1;15;Stefanie;Schramm;F;NOR;SVOLVÆR;FE4;Kvinner master;0:00.0;;;Svolvｾr
1;70;Peter;Nilsson;M;SWE;Vesterålen SK;FE4;Menn master;3:25.0;0:00.0;2018-09-23T16:27:39.4170000;Sortland
2;68;Jimmy;Johansen;M;NOR;Lofoten Ekstremsportklubb;FE4;Menn master;0:00.0;;;Gravdal
2;69;Bjørn-Ståle;Larsen;M;NOR;Lofoten Ekstremsportklubb;FE4;Menn master;0:00.0;;;Gravdal
1;12;Tonje Mari;Amundsen;F;NOR;Harstad CK;FE4;K Sport 17+;3:50.0;0:00.0;2018-09-23T16:24:55.4710000;Harstad
2;14;Vanja;Bråten;F;NOR;SØRVIK;FE4;K Sport 17+;3:58.0;0:08.0;2018-09-23T16:25:21.4440000;Sørvik
3;13;Ida Kristine;Sletta;F;NOR;NARVIK;FE4;K Sport 17+;0:00.0;;;Narvik
1;34;Anders;Røkenes;M;NOR;Harstad CK;FE4;M Sport 17+;2:38.0;0:00.0;2018-09-23T16:25:24.0880000;Harstad
2;38;Einar;Frønum;M;NOR;Harstad CK;FE4;M Sport 17+;2:44.0;0:06.0;2018-09-23T16:30:08.9250000;Harstad
3;41;Stian;Storeng;M;NOR;Harstad CK;FE4;M Sport 17+;2:45.0;0:07.0;2018-09-23T16:31:10.5140000;Harstad
4;54;Markus;Nore Kveim;M;NOR;Nissedal Stisykkel;FE4;M Sport 17+;2:51.0;0:13.0;2018-09-23T16:25:55.0270000;Tromsø
5;48;Jon Håvard;H.appelkvist;M;NOR;IL Stjørdals-Blink;FE4;M Sport 17+;2:53.0;0:15.0;2018-09-23T16:26:09.2260000;Tromsø
6;28;Christoffer;Borge Olsen;M;NOR;Aron Skiklubb / Aron SK;FE4;M Sport 17+;2:55.0;0:17.0;2018-09-23T16:38:57.9480000;Mjøndalen
6;64;Tord;Nese;M;NOR;Tromsø Enduro/Peab Bjørn Bygg;FE4;M Sport 17+;2:55.0;0:17.0;2018-09-23T16:44:33.3980000;Tromsø
8;58;Arne;Radmann;M;NOR;Sti5;FE4;M Sport 17+;2:56.0;0:18.0;2018-09-23T16:35:27.9490000;Kabelv携
9;18;Alex;Rufibach;M;SUI;TROMSØ;FE4;M Sport 17+;3:01.0;0:23.0;2018-09-23T16:42:37.5340000;Tromsø
10;52;Jørn;Hanssen;M;NOR;Lofoten Ekstremsportklubb;FE4;M Sport 17+;3:03.0;0:25.0;2018-09-23T16:37:05.8160000;Leknes
10;60;Frans;Meijers;M;NOR;Tromsø Enduro;FE4;M Sport 17+;3:03.0;0:25.0;2018-09-23T16:44:18.6590000;Tromsø
12;44;Håvard;Torvanger;M;NOR;Harstad CK / Equinor BIL;FE4;M Sport 17+;3:04.0;0:26.0;2018-09-23T16:28:58.7800000;Harstad
12;63;Rickard;Wessberg;M;SWE;Tromsø Enduro/Consto AS;FE4;M Sport 17+;3:04.0;0:26.0;2018-09-23T16:35:08.4340000;Tromsø
14;56;Leon;Molund;M;NOR;NOR Cykleklubb / Leon Sport;FE4;M Sport 17+;3:05.0;0:27.0;2018-09-23T16:36:40.1330000;Evenskjer
14;57;Joar;Nilsen;M;NOR;Joar Nilsen / Ofoten Rør og Enduro;FE4;M Sport 17+;3:05.0;0:27.0;2018-09-23T16:30:59.4130000;Narvik
16;67;Anders;S Bråten;M;NOR;Vollstadheia Krankklubb;FE4;M Sport 17+;3:06.0;0:28.0;2018-09-23T16:43:25.6940000;Sørvik
17;65;Audun;Domaas Pedersen;M;NOR;Tromsø Sti&Helse;FE4;M Sport 17+;3:10.0;0:32.0;2018-09-23T16:37:38.9700000;Tromsø
18;24;Carles;Debart;M;ESP;;FE4;M Sport 17+;3:12.0;0:34.0;2018-09-23T16:42:20.0170000;
19;17;Lars A.;Uttakleiv;M;NOR;HARSTAD;FE4;M Sport 17+;3:13.0;0:35.0;2018-09-23T16:33:49.7700000;Harstad
20;47;Aleksander;Dysterud;M;NOR;Harstad Cyckel Klubb;FE4;M Sport 17+;3:14.0;0:36.0;2018-09-23T16:32:04.0270000;RAMSUND
21;42;Stian Kristoffer;Evensen;M;NOR;Harstad CK;FE4;M Sport 17+;3:15.0;0:37.0;2018-09-23T16:34:51.9500000;Harstad
22;39;Øyvind;Frønum;M;NOR;Harstad CK;FE4;M Sport 17+;3:16.0;0:38.0;2018-09-23T16:28:15.9680000;Harstad
23;61;Lars;Gabrielsen;M;NOR;Tromsø Enduro;FE4;M Sport 17+;3:18.0;0:40.0;2018-09-23T16:44:07.0090000;Krokelvdalen
