Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
3;67;Helene Thon;Moland;F;NOR;HOSLE;SS4;Kvinner;06:55;00:23;2014-08-03T15:13:55.2230000;Hosle
4;64;Joline;Johansson;F;SWE;Drammen CK / Friksjon Sykkel;SS4;Kvinner;07:10;00:38;2014-08-03T15:11:10.6730000;Nittedal
5;52;Vera;Leivsdottir;F;NOR;NTNUI;SS4;Kvinner;07:10;00:38;2014-08-03T14:59:10.9510000;Bergen
6;66;Astri;Knudsen;F;NOR;SK Rye sykkel / Team Ibis;SS4;Kvinner;07:49;01:17;2014-08-03T15:13:49.5030000;LEIKANGER
7;71;Ragnhild;Solheim;F;NOR;Snertne Pigers Velocipedklub;SS4;Kvinner;08:01;01:29;2014-08-03T15:19:01.3880000;Bergen
8;69;Synne;Opsand;F;NOR;Freeride Radicals;SS4;Kvinner;08:13;01:41;2014-08-03T15:17:13.9790000;OSLO
9;78;Ingvild;Andersen;F;NOR;Freeride Radicals;SS4;Kvinner;08:34;02:02;2014-08-03T15:26:34.5100000;SOGNDAL
1;8;Lars Vatnebryn;Sandviken;M;NOR;Drammen CK;SS4;Menn;04:59;00:00;2014-08-03T14:12:59.1550000;Kongsberg
2;1;Niclas;Andersen;M;NOR;Drøbak-Frogn IL Sykkel / Bjørnstad Sport;SS4;Menn;05:02;00:03;2014-08-03T14:06:02.8430000;DRØBAK
3;4;Jostein;Hole;M;NOR;Drammen CK / Nedre Buskerud Nerroverlag;SS4;Menn;05:08;00:09;2014-08-03T14:09:08.4530000;Drammen
4;2;Svenn;Fjeldheim;M;NOR;Nedre Buskerud Nerroverlag;SS4;Menn;05:11;00:12;2014-08-03T14:07:11.4020000;SOLBERGMOEN
5;5;Ove;Grøndal;M;NOR;Trailhead Nesbyen;SS4;Menn;05:13;00:14;2014-08-03T14:10:13.6610000;NESBYEN
6;6;John Ola;Buøy;M;NOR;Orkla CK / Team Ibis;SS4;Menn;05:14;00:15;2014-08-03T14:11:14.5790000;Buvika
7;23;Thomas;Klingenberg;M;NOR;SK Rye sykkel / Rye;SS4;Menn;05:25;00:26;2014-08-03T14:28:25.6160000;Oslo
8;9;Nils Einar;Berget;M;NOR;Sære Sogninger;SS4;Menn;05:30;00:31;2014-08-03T14:14:30.9640000;VALDERØYA
9;3;Pål;Nakken;M;NOR;Molde CK;SS4;Menn;05:31;00:32;2014-08-03T14:08:31.9010000;Molde
10;7;Nicklas;Fastegård;M;NOR;Oppdal SK / Vpg Enduro;SS4;Menn;05:35;00:36;2014-08-03T14:12:35.3530000;Oppdal
11;18;Øyvind;Sætra;M;NOR;Freeride Radicals;SS4;Menn;05:42;00:43;2014-08-03T14:23:42.5640000;Sogndal
12;13;Baard;Hellebostad;M;NOR;Nesodden SK;SS4;Menn;05:44;00:45;2014-08-03T14:18:44.0410000;Borgen
13;34;Jan Helge;Aalbu;M;NOR;Sogn CK;SS4;Menn;05:45;00:46;2014-08-03T14:39:45.4930000;Sogndal
14;10;Per Morten;Mølsted;M;NOR;Oslostudentenes IK / Nordmarka Æksklusife Elitesykkelforæning;SS4;Menn;05:47;00:48;2014-08-03T14:15:47.9340000;Oslo
15;16;Bjørn;Ballangrud;M;NOR;Lillehammer CK / NTG Lillehammer;SS4;Menn;05:49;00:50;2014-08-03T14:21:49.4230000;Lillehammer
16;11;Bård Sturla;Stokke;M;NOR;OSLO;SS4;Menn;05:49;00:50;2014-08-03T14:16:49.8000000;OSLO
1;27;Ted;Johansen;M;NOR;IF Frøy;SS4;Menn junior;05:50;00:51;2014-08-03T14:32:50.6340000;OSLO
